,Country,Year,Precipitation,Temperature,Occurrences,Entity,Urban (%),Rural (%),HDI,PopTotal,Education,Dengue,Y,X
43,ESP,1991,44.16800833333334,13.39951,0.0,Spain,75.528,24.471999999999998,0.764,39403.2,0.609,0.0,38.06,-1.52
44,FJI,1991,223.55636666666666,24.151858333333337,4.0,Fiji,42.381,57.618999,0.6509999999999999,735.4730000000001,0.635,0.0,-18.12,178.43
45,FRA,1991,58.51955833333333,10.9549175,0.0,France,74.229,25.771,0.7879999999999999,57237.702000000005,0.65,0.0,41.86,8.97
46,GAB,1991,148.99569166666663,24.87451666666667,0.0,Gabon,70.462,29.538,0.625,978.2230000000001,0.48,0.0,0.44,9.43
47,GEO,1991,65.70889166666667,6.485589999999999,0.0,Georgia,54.799,45.201,0.0,5370.649,0.0,0.0,4310186.0,40618588.0
48,GHA,1991,108.76535249999999,27.338941666666667,0.0,Ghana,37.17,62.830002,0.46,15039.514,0.381,0.0,6.73,-1.73
49,GIN,1991,129.693565,25.946791666666666,0.0,Guinea,28.311999999999998,71.688004,0.28,6374.329000000001,0.125,0.0,9.5,-13.72
50,GLP,1991,260.63599999999997,25.532666666666668,0.0,Guadeloupe,96.697,3.303,0.0,390.069,0.0,0.0,16.24,-61.53
51,GMB,1991,64.66284916666667,27.781716666666668,0.0,Gambia,39.41,60.59,0.337,949.493,0.188,0.0,13.38,-14.41
52,GRC,1991,51.19604166666667,13.115936666666668,0.0,Greece,71.635,28.365,0.763,10341.892,0.624,0.0,37.09,21.97
53,GRD,1991,124.25821666666666,27.258316666666662,0.0,Grenada,33.503,66.497002,0.0,96.454,0.0,0.0,12.02,-61.75
54,GTM,1991,202.31663333333336,23.891841666666664,0.0,Guatemala,42.323,57.676998,0.483,9483.27,0.289,0.0,15.73,-88.68
55,GUF,1991,218.72751666666667,25.670833333333334,1.0,French Guiana,75.115,24.885,0.0,120.681,0.0,3.0,5.5,-54.03
56,GUM,1991,635.4784166666667,27.927066666666665,0.0,Guam,91.061,8.9390001,0.0,133.558,0.0,0.0,13.44,144.79
57,GUY,1991,186.15532499999998,25.818158333333333,0.0,Guyana,29.493000000000002,70.50700400000001,0.5329999999999999,744.289,0.512,0.0,8.2,-59.78
58,HND,1991,134.08994166666665,24.07410833333334,0.0,Honduras,40.953,59.047001,0.509,5099.951,0.35700000000000004,0.0,14.08,-87.22
59,HRV,1991,88.85043333333334,10.258930000000001,0.0,Croatia,51.357,48.643002,0.665,4760.003,0.508,0.0,42.72,18.03
60,HTI,1991,66.07105416666667,25.056216666666668,0.0,Haiti,29.641,70.359001,0.409,7243.391,0.294,0.0,19.05,-72.47
61,IDN,1991,208.16013333333333,26.119225,0.0,Indonesia,31.613000000000003,68.387001,0.5329999999999999,184615.979,0.391,4.0,-7.26,112.75
62,IND,1991,83.86938333333332,24.220583333333327,1.0,India,25.778000000000002,74.222,0.43200000000000005,888054.875,0.317,7.0,18.95,72.95
63,ISR,1991,33.155024999999995,19.491600000000002,0.0,Israel,90.463,9.536999699999999,0.8,4643.198,0.7290000000000001,0.0,32.75,34.98
64,ITA,1991,74.369725,11.6815675,17.0,Italy,66.706,33.293999,0.774,57152.515999999996,0.609,0.0,36.92,14.67
65,JAM,1991,120.73113333333333,25.097808333333337,0.0,Jamaica,49.656000000000006,50.344002,0.639,2443.689,0.513,0.0,18.47,-77.92
66,JPN,1991,151.51319166666664,11.345288333333334,0.0,Japan,77.473,22.526999999999997,0.821,124940.015,0.6970000000000001,0.0,35.72,139.74
67,KEN,1991,48.26209166666667,24.632491666666667,0.0,Kenya,17.043,82.957001,0.466,24179.597999999998,0.379,0.0,-0.67,37.35
68,KHM,1991,135.94398666666666,27.71578333333333,0.0,Cambodia,15.887,84.112999,0.368,9286.976,0.28,0.0,13.85,106.16
69,KIR,1991,118.27603333333333,118.27603333333333,0.0,Kiribati,35.272,64.727997,0.0,73.7,0.0,0.0,1.36,173.13
70,KNA,1991,164.41625000000002,25.497899999999998,0.0,Saint Kitts and Nevis,34.474000000000004,65.52600100000001,0.0,41.013000000000005,0.0,0.0,17.3,-62.73
71,KOR,1991,116.565375,11.025025,0.0,South Korea,74.972,25.028000000000002,0.7390000000000001,43378.100999999995,0.6859999999999999,0.0,0.0,0.0
72,LAO,1991,129.68098999999998,129.68098999999998,0.0,Laos,15.782,84.218002,0.405,4380.073,0.294,0.0,0.0,0.0
73,LBN,1991,62.763098333333325,15.900432499999999,0.0,Lebanon,83.47200000000001,16.528,0.0,2752.462,0.0,0.0,34.4,36.39
74,LBR,1991,201.81050833333336,25.457858333333334,0.0,Liberia,58.0,42.0,0.0,2060.2670000000003,0.0,0.0,5.88,-10.04
75,LCA,1991,209.27544166666667,26.605525,0.0,Saint Lucia,29.572,70.428001,0.0,140.156,0.0,0.0,14.03,-60.98
76,LKA,1991,137.06705000000002,27.063824999999998,0.0,Sri Lanka,18.52,81.480003,0.63,17539.633,0.6,0.0,7.07,80.01
77,MAC,1991,139.3112125,23.240849999999995,1.0,Macao,99.805,0.19499999,0.0,353.764,0.0,0.0,0.0,0.0
78,MDG,1991,115.98961666666668,23.280424999999997,0.0,Madagascar,24.119,75.880997,0.0,11942.819,0.0,0.0,-15.72,46.32
79,MDV,1991,174.92356666666663,28.17554166666667,0.0,Maldives,25.776,74.22399899999999,0.0,229.75400000000002,0.0,0.0,4.17,73.5
80,MEX,1991,63.625225,21.018241666666665,1.0,Mexico,71.816,28.184,0.654,87071.51199999999,0.48100000000000004,1.0,14.91,-92.26
81,MHL,1991,283.34250000000003,27.783175,0.0,Marshall Islands,65.392,34.608002,0.0,48.475,0.0,0.0,8.72,167.74
82,MLT,1991,37.22073,18.638091666666664,0.0,Malta,90.49700000000001,9.503000300000002,0.745,367.528,0.61,0.0,35.9,14.45
83,MMR,1991,173.5043341666667,23.206550000000004,0.0,Myanmar,25.418000000000003,74.582001,0.366,41190.156,0.268,0.0,16.78,96.15
84,MNE,1991,98.34115833333334,8.428649166666668,0.0,Montenegro,49.165,50.834998999999996,0.0,615.741,0.0,0.0,42.7,19.4
85,MNP,1991,563.8237500000001,27.84165833333333,0.0,Northern Mariana Islands,89.697,10.302999999999999,0.0,45.248999999999995,0.0,0.0,15.14,145.72
86,MOZ,1991,80.48652833333334,23.91495,0.0,Mozambique,25.487,74.513,0.212,13591.97,0.133,0.0,-22.45,31.33
87,MSR,1991,189.365,26.324058333333337,0.0,Montserrat,12.5,87.5,0.0,10.765999999999998,0.0,0.0,16.71,-62.21
88,MTQ,1991,262.8133333333334,25.270750000000003,0.0,Martinique,86.736,13.264000000000001,0.0,360.9,0.0,0.0,14.6,-61.07
89,MUS,1991,138.291325,23.289508333333334,0.0,Mauritius,43.777,56.223,0.626,1068.4389999999999,0.489,0.0,-19.72,63.38
90,MYS,1991,228.28166666666667,25.663675,1.0,Malaysia,50.576,49.424,0.652,18529.453999999998,0.499,3.0,6.12,102.26
91,MYT,1991,187.84594583333333,26.23025833333334,0.0,Mayotte,36.683,63.317001,0.0,100.166,0.0,0.0,-12.83,45.17
92,NCL,1991,100.04719916666669,21.85014166666667,0.0,New Caledonia,59.718999999999994,40.280998,0.0,173.488,0.0,0.0,-22.3,166.44
93,NGA,1991,99.95170333333334,26.918441666666666,8.0,Nigeria,30.176,69.82399699999999,0.0,97726.323,0.0,0.0,7.15,3.36
94,NIC,1991,169.27299166666666,25.431991666666665,0.0,Nicaragua,53.352,46.647999,0.498,4236.8009999999995,0.366,0.0,13.02,-87.53
95,NIU,1991,151.67480000000003,24.533283333333333,0.0,Niue,30.579,69.420998,0.0,2.2880000000000003,0.0,0.0,-19.06,-169.87
96,NLD,1991,54.145541666666674,9.462139166666667,0.0,Netherlands,69.329,30.671,0.8340000000000001,15064.518999999998,0.7559999999999999,0.0,51.19,5.87
97,NPL,1991,92.37409583333334,12.047411666666667,1.0,Nepal,9.18,90.82,0.386,19245.054,0.28300000000000003,0.0,27.96,84.9
98,NRU,1991,219.63308333333336,27.841649999999998,0.0,Nauru,100.0,0.0,0.0,9.347999999999999,0.0,0.0,-0.52,166.92
99,NZL,1991,145.60841666666667,9.553090833333332,0.0,New Zealand,84.95,15.05,0.82,3446.17,0.797,0.0,-36.96,174.9
100,PAK,1991,24.63993583333334,19.8752925,0.0,Pakistan,30.826,69.17400400000001,0.409,110730.42,0.21,0.0,32.08,72.67
101,PAN,1991,214.194125,25.70546666666667,0.0,Panama,54.757,45.243,0.665,2523.181,0.5429999999999999,0.0,9.08,-79.39
102,PER,1991,108.45112499999999,19.513716666666667,0.0,Peru,69.3,30.700001,0.617,22283.127999999997,0.556,0.0,-3.54,-73.45
103,PHL,1991,169.68686666666665,25.892658333333333,0.0,Philippines,46.901,53.098999,0.5870000000000001,63508.459,0.523,0.0,14.41,121.04
104,PNG,1991,231.73859166666668,25.092016666666666,0.0,Papua New Guinea,14.815999999999999,85.183998,0.38799999999999996,4423.0070000000005,0.214,0.0,-9.15,142.72
105,PRI,1991,137.89644166666668,25.380858333333332,1.0,Puerto Rico,93.10600000000001,6.894000099999999,0.0,3551.587,0.0,1.0,18.24,-66.04
106,PRY,1991,95.33192166666667,23.646149999999995,0.0,Paraguay,49.43899999999999,50.561001,0.585,4323.41,0.442,3.0,-25.28,-57.64
107,PYF,1991,130.94502500000002,24.52773333333333,0.0,French Polynesia,57.61,42.389998999999996,0.0,202.016,0.0,2.0,-17.53,-149.56
108,REU,1991,159.2762916666667,29.147391666666664,0.0,Reunion,82.302,17.698,0.0,622.418,0.0,0.0,0.0,0.0
109,ROU,1991,63.26615,8.472655833333333,0.0,Romania,53.93,46.07,0.6859999999999999,23454.213,0.609,0.0,44.44,26.11
110,RUS,1991,35.37736666666666,-5.434634999999999,0.0,Russia,73.389,26.611,0.7290000000000001,148035.89800000002,0.664,0.0,0.0,0.0
111,SAU,1991,5.881523333333333,24.796466666666674,0.0,Saudi Arabia,77.223,22.776999999999997,0.706,16867.828999999998,0.495,0.0,21.54,39.17
